upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
A0108P92-1,1,108,P,0108P,A0108P92,A0108P921,5,15.126360413094199,76.0220728111933,100.11394147944401,150,4,5,,5,100,100.0,A0108P92,48.85,-122.68
A0116P90-1,1,116,P,0116P,A0116P90,A0116P901,4,35.4817204220185,95.96555715963379,242.002573229696,100,4,4,,4,100,100.0,A0116P90,47.24,-122.08
A0116P94-1,1,116,P,0116P,A0116P94,A0116P941,3,36.8270553502387,104.147732963467,293.07958116185796,100,3,3,,3,100,100.0,A0116P94,47.24,-122.09
A0116X97_1,1,116,X,0116X,A0116X97,A0116X971,4,6.950620455876679,29.8547810896055,69.735243895192,100,4,4,,4,100,100.0,A0116X97,42.49,-113.18
A0120R93-1,1,120,R,0120R,A0120R93,A0120R931,5,13.072981943666699,53.2499708806964,116.996856229881,68,4,5,68.0,4,68,100.0,A0120R93,45.23,-117.07
A0201F96-1,2,201,F,0201F,A0201F96,A0201F961,4,6.785761443904389,24.840791786981395,29.3874374690865,40,3,4,40.0,3,40,100.0,A0201F96,35.41,-114.1
A0201F99-1,2,201,F,0201F,A0201F99,A0201F991,3,3.71967220731388,40.2226513313854,40.2226513313854,28,2,3,28.0,2,28,100.0,A0201F99,35.81,-118.07
A0204P96-1,2,204,P,0204P,A0204P96,A0204P961,4,10.4403756656198,55.089602556393004,71.3064612644003,42,3,4,42.0,3,42,100.0,A0204P96,33.56,-117.05
A0208P94-1,2,208,P,0208P,A0208P94,A0208P941,5,3.53768298652263,12.2208515396368,21.4537731592135,69,4,5,69.0,5,69,100.0,A0208P94,37.02,-120.04
A0209P89-1,2,209,P,0209P,A0209P89,A0209P891,3,10.5133503317168,52.882741630807104,74.88698585923109,51,3,3,,3,51,100.0,A0209P89,33.89,-117.05
A0209P90-1,2,209,P,0209P,A0209P90,A0209P901,4,6.45659545438324,16.0484629214556,,100,3,4,,4,90,30.0,A0209P90,33.15,-116.99
A0210R87-1,2,210,R,0210R,A0210R87,A0210R871,4,2.51539671276474,9.650725020864579,24.1491694232448,100,4,4,,4,100,100.0,A0210R87,34.43,-117.37
A0215P99-1,2,215,P,0215P,A0215P99,A0215P991,4,8.94701242180586,26.7878232736165,57.107740782807,100,4,4,,4,100,100.0,A0215P99,37.31,-120.26
A0216P99-1,2,216,P,0216P,A0216P99,A0216P991,4,8.66810442333641,27.4353338505905,41.2390055403051,100,4,4,,4,100,100.0,A0216P99,35.87,-119.36
